Date,SM100
2002-07-01,25.4367
2002-08-01,24.4719
2002-09-01,25.0117
2002-10-01,27.1642
2002-11-01,28.7718
2002-12-01,28.0614
2003-01-01,28.4289
2003-02-01,27.0522
2003-03-01,26.3718
2003-04-01,30.3291
2003-05-01,38.1178
2003-06-01,34.3692
2003-07-01,31.3462
2003-08-01,30.3351
2003-09-01,30.3801
2003-10-01,30.4087
2003-11-01,30.0597
2003-12-01,29.9906
2004-01-01,28.6591
2004-02-01,28.2549
2004-03-01,27.0647
2004-04-01,31.7119
2004-05-01,31.8599
2004-06-01,27.2462
2004-07-01,25.2776
2004-08-01,24.8827
2004-09-01,24.8221
2004-10-01,26.7668
2004-11-01,29.7326
2004-12-01,28.795
2005-01-01,27.3567
2005-02-01,26.8491
2005-03-01,27.6145
2005-04-01,27.3313
2005-05-01,33.8204
2005-06-01,32.1248
2005-07-01,29.0988
2005-08-01,27.9425
2005-09-01,27.435
2005-10-01,28.6812
2005-11-01,28.7592
2005-12-01,26.5001
2006-01-01,25.3954
2006-02-01,25.0379
2006-03-01,25.8542
2006-04-01,31.9193
2006-05-01,31.943
2006-06-01,28.2253
2006-07-01,26.2314
2006-08-01,26.1925
2006-09-01,25.7158
2006-10-01,28.4524
2006-11-01,33.4835
2006-12-01,33.2533
2007-01-01,30.9388
2007-02-01,30.3182
2007-03-01,29.5002
2007-04-01,31.5311
2007-05-01,32.6514
2007-06-01,30.0979
2007-07-01,27.6968
2007-08-01,27.7554
2007-09-01,28.1748
2007-10-01,30.7519
2007-11-01,30.8752
2007-12-01,28.2423
2008-01-01,27.0812
2008-02-01,26.4277
2008-03-01,25.8943
2008-04-01,28.8993
2008-05-01,28.5453
2008-06-01,25.4988
2008-07-01,24.1828
2008-08-01,23.5118
2008-09-01,23.9373
2008-10-01,28.3823
2008-11-01,32.4866
2008-12-01,29.0652
2009-01-01,27.7881
2009-02-01,27.5598
2009-03-01,26.4057
2009-04-01,30.5502
2009-05-01,29.8062
2009-06-01,27.0976
2009-07-01,24.9319
2009-08-01,24.0349
2009-09-01,24.133
2009-10-01,26.4536
2009-11-01,26.4339
2009-12-01,26.2689
2010-01-01,26.0662
2010-02-01,25.047
2010-03-01,28.9988
2010-04-01,33.4231
2010-05-01,33.6037
2010-06-01,29.8328
2010-07-01,27.3542
2010-08-01,26.433
2010-09-01,26.3507
2010-10-01,27.2694
2010-11-01,26.757
2010-12-01,24.926
2011-01-01,24.0502
2011-02-01,23.6753
2011-03-01,23.3425
2011-04-01,22.0932
2011-05-01,25.4792
2011-06-01,23.5197
2011-07-01,22.3517
2011-08-01,21.7273
2011-09-01,22.4706
2011-10-01,25.922
2011-11-01,34.9932
2011-12-01,35.2151
2012-01-01,32.3209
2012-02-01,31.2698
2012-03-01,30.2941
2012-04-01,33.6125
2012-05-01,36.5854
2012-06-01,32.0315
2012-07-01,30.257
2012-08-01,29.1931
2012-09-01,29.2752
2012-10-01,31.3134
2012-11-01,33.331
2012-12-01,30.8791
2013-01-01,29.3971
2013-02-01,28.4413
2013-03-01,29.1495
2013-04-01,38.8322
2013-05-01,37.4676
2013-06-01,33.4357
2013-07-01,31.1824
2013-08-01,30.4746
2013-09-01,30.1901
2013-10-01,32.1967
2013-11-01,34.6199
2013-12-01,31.5164
2014-01-01,29.9633
2014-02-01,29.909
2014-03-01,30.1469
2014-04-01,31.4776
2014-05-01,31.1162
2014-06-01,27.9235
2014-07-01,26.2227
2014-08-01,25.5416
2014-09-01,26.3294
2014-10-01,28.3432
2014-11-01,29.1139
2014-12-01,28.4091
2015-01-01,26.8004
2015-02-01,25.9554
2015-03-01,25.3207
2015-04-01,29.6509
2015-05-01,32.2853
2015-06-01,28.4621
2015-07-01,26.3898
2015-08-01,25.6628
2015-09-01,25.1307
2015-10-01,28.6561
2015-11-01,30.2943
2015-12-01,28.3722
2016-01-01,26.8285
2016-02-01,26.0617
2016-03-01,26.1424
2016-04-01,30.7051
2016-05-01,35.0222
2016-06-01,29.6157
2016-07-01,27.9375
2016-08-01,27.0482
2016-09-01,26.7992
2016-10-01,27.6264
2016-11-01,28.2586
2016-12-01,28.1508
2017-01-01,26.4406
2017-02-01,26.1537
2017-03-01,25.5599
2017-04-01,26.1867
2017-05-01,28.8438
2017-06-01,26.0482
2017-07-01,24.4187
2017-08-01,23.7439
2017-09-01,25.2709
2017-10-01,27.9178
2017-11-01,31.0347
2017-12-01,28.0228
2018-01-01,26.5298
2018-02-01,26.3306
2018-03-01,30.0478
2018-04-01,36.4951
2018-05-01,38.3942
2018-06-01,35.3267
2018-07-01,32.5351
2018-08-01,31.1159
2018-09-01,30.6633
2018-10-01,31.3498
2018-11-01,30.7891
2018-12-01,29.1615
2019-01-01,27.6116
2019-02-01,27.0449
2019-03-01,26.5209
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,