Month,Period,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,
Jan,1,8.9665,4.9102,5.8718,9.878,4.3953,4.4072,2.7762,5.1129,2.7607,3.2677,2.5136,8.0335,3.0021,2.7389,4.4925,2.9073,2.8443,2.7244,
,2,5.1023,4.9267,15.1247,7.0142,3.7398,3.9845,3.852,6.8783,3.7333,3.1954,2.4048,4.7306,2.3879,2.5873,10.9718,2.7085,2.5212,2.6241,
,3,6.7263,7.9644,16.2329,13.6106,3.8826,8.617,2.9741,23.0014,4.9923,3.4378,2.6176,3.8065,2.6637,2.9898,6.2786,2.9201,2.8384,2.865,
Feb,4,5.2421,3.5542,5.6756,4.0325,2.4701,21.3132,2.8625,3.5641,36.0002,3.209,2.5452,3.4443,7.2852,9.9858,4.3811,5.6982,5.435,4.6022,
,5,7.685,3.8231,4.6887,5.6457,21.9998,3.4728,4.7824,3.6635,20.5384,7.6517,2.6798,3.29,6.4986,6.4257,5.1349,19.1529,23.142,5.9898,
,6,4.7274,8.0755,4.1703,5.1682,13.0682,5.7973,2.399,4.1724,22.2913,2.8714,3.8074,2.8346,4.2862,5.2156,8.7629,9.6835,23.9535,5.0457,
Mar,7,36.7322,14.5091,12.5727,32.6924,7.3912,9.8092,5.6548,10.3186,61.2426,12.8301,5.8124,8.1638,8.0017,10.7548,23.3231,15.4867,31.8498,19.4171,
,8,25.9171,17.0275,21.0805,35.7198,19.9805,30.1246,5.1319,10.1687,20.6957,19.7144,6.0592,33.1901,39.2668,9.9575,5.8901,13.9716,26.8262,6.1707,
,9,16.1657,34.2263,24.2787,16.4119,52.9281,28.1645,6.58,29.6481,26.6183,6.7159,20.9586,46.8302,28.9463,25.9141,7.7055,53.0142,9.6381,12.681,
Apr,10,20.097,18.6038,62.0951,21.1449,75.3659,19.476,37.4204,41.9124,16.7518,10.3598,49.3991,48.4752,32.5425,23.5083,51.8081,15.272,77.0238,,
,11,47.1526,61.8914,64.285,38.5427,25.3768,89.4592,25.9151,24.4998,74.4023,12.9354,35.4391,30.6554,16.962,44.705,56.8963,16.4135,92.5761,,
,12,12.7206,80.9127,31.1866,81.9901,29.9344,21.2244,21.8393,21.6743,67.878,33.7529,28.6698,38.1547,16.2183,24.479,39.9469,20.6981,52.9475,,
May,13,28.0538,13.3396,12.5119,84.2893,35.8685,10.6801,47.4405,11.5563,48.1125,18.5282,38.1529,50.6498,31.3513,41.4218,105.6226,29.8235,8.6747,,
,14,18.6901,16.9794,9.65,33.2693,17.1967,40.6545,18.6105,20.6117,41.1684,39.4531,16.1692,13.8408,21.5328,14.9485,63.3432,42.4775,33.5647,,
,15,23.2706,13.0947,16.0987,23.2228,24.8191,43.58,34.6787,15.2944,45.0472,64.3538,11.2813,28.4168,40.7115,34.5101,28.1225,29.8988,33.1387,,
Jun,16,18.1552,38.8438,21.0797,21.375,23.0404,26.9728,36.5101,14.4725,22.5085,20.1673,17.8843,13.9245,10.9226,24.4056,20.5735,15.2537,34.5745,,
,17,24.0833,28.8113,23.4212,23.293,31.2131,59.8294,22.9296,29.6596,31.4202,45.6466,21.5118,52.1577,10.1952,11.2098,31.5756,13.5896,45.9643,,
,18,17.7462,21.3627,22.2868,24.1752,30.2227,39.0978,24.2046,20.3714,24.0197,47.5593,28.8701,17.0547,16.1865,41.7951,33.7848,27.6179,55.3954,,
Jul,19,23.7231,44.8302,22.1708,37.1156,51.7879,43.541,66.8467,29.8478,26.1201,31.847,46.4585,66.8635,22.795,26.0704,60.1944,54.3015,37.6651,,
,20,37.3632,49.5141,56.9384,35.6382,35.7396,18.1115,51.4374,72.3722,29.7517,63.2984,37.3638,45.6703,24.6993,38.6727,33.3439,52.3279,33.6932,,
,21,42.869,88.4606,58.5768,55.1673,64.6997,86.8578,67.0705,44.8147,99.6718,79.9813,78.0077,75.3396,45.9038,59.2203,45.7612,54.2621,21.6656,,
Aug,22,56.3097,34.7082,53.8964,34.5552,43.1452,57.4053,83.6285,35.2757,28.3424,57.0915,48.0482,54.484,46.5823,26.3294,31.6729,58.6794,37.7803,,
,23,36.6868,68.3918,49.085,40.063,75.5575,56.0519,48.12,46.4331,53.5606,60.0087,66.797,70.8532,36.0669,64.2099,32.9458,43.7179,33.5871,,
,24,43.0336,66.0424,48.8426,50.2501,55.0172,69.4425,45.349,39.8057,88.0802,64.8949,79.1912,48.2623,66.1267,23.253,47.4223,82.6277,93.0958,,
Sep,25,25.3659,37.4223,45.1613,40.9856,41.5164,66.4559,36.6901,45.8906,55.3635,63.7633,63.5889,51.1972,44.1746,25.4236,27.3508,69.5896,19.4085,,
,26,33.9485,30.304,40.6412,35.9163,44.1457,48.6403,36.8223,17.3612,53.4631,33.8225,49.9265,31.6274,43.2977,20.9475,21.995,76.9947,30.745,,
,27,18.8636,40.6654,42.8565,35.5387,32.9859,35.5858,40.0152,32.8516,23.737,37.1024,44.421,21.1056,29.9907,21.0487,50.656,45.7146,25.7249,,
Oct,28,11.3328,9.267,23.2353,14.5089,15.1782,19.2249,35.8914,30.6918,9.0035,9.8014,6.431,64.1556,91.0617,14.104,13.539,8.2763,14.4924,,
,29,12.2308,10.0154,21.0178,18.8087,29.4332,11.9777,24.6433,50.9165,8.8045,10.0282,6.7254,12.4163,20.665,12.4083,15.2602,20.0453,38.6227,,
,30,13.458,11.5708,21.1019,11.7783,52.2771,11.4167,50.0634,8.086,6.9121,6.9355,25.863,8.5948,20.746,9.1622,16.6579,12.2023,19.8461,,
Nov,31,5.1745,7.8276,5.7531,6.2245,4.5388,12.1858,47.1704,5.3145,2.6925,18.7809,5.3662,10.2717,2.9957,6.8089,4.939,4.6275,9.4414,,
,32,2.4645,5.2103,5.1054,16.2338,5.4833,4.9728,2.7453,3.5528,3.1851,4.4762,4.354,8.62,2.7977,7.8046,5.2188,4.4207,14.378,,
,33,2.3461,5.6319,5.5242,8.8046,3.0003,4.5759,2.8273,4.868,5.9484,4.8986,2.9515,6.102,5.5585,4.3883,11.2121,4.0709,9.0799,,
Dec,34,6.3975,13.2956,3.2013,1.3275,15.0205,1.8955,1.7143,7.4089,1.6743,1.6889,3.192,1.4434,2.5992,1.8123,3.2044,1.8652,2.0618,,
,35,5.5189,4.3414,2.6967,1.5164,3.4016,1.6875,1.5884,9.7819,1.4833,1.5489,2.997,1.3125,2.3181,1.6713,3.2081,1.4705,1.3594,,
,36,12.8021,6.2752,3.9493,2.7297,4.7358,2.3738,2.3692,8.3229,3.223,2.0924,3.0679,2.141,3.7686,2.8767,4.8321,2.3729,2.0872,