DT,SM,NDVI,,_ NDVI,,max NDVI,min NDVI,,NDVImax -NDVIt-1)*ln(SMt-1),t-2,t-3,t-4,t-5
1/1/03,24.6761,0.6432,,,,0.6432,0.6432,,,,,,
2/1/03,23.0337,0.5865,,-0.0567,,,,,0.077246022,,,,
3/1/03,21.9086,0.4665,,-0.12,,,,,3.87124962,0.077246022,,,
4/1/03,27.776,0.6338,,0.1673,,,,,0.2610944,3.87124962,0.077246022,,
5/1/03,36.3487,0.7599,,0.1261,,,,,-4.24189329,0.2610944,3.87124962,0.077246022,
6/1/03,32.7283,0.7393,,-0.0206,,,,,-3.14518963,-4.24189329,0.2610944,3.87124962,0.077246022
7/1/03,27.8346,0.6376,,-0.1017,,,,,0.15587376,-3.14518963,-4.24189329,0.2610944,3.87124962
8/1/03,26.1251,0.5931,,-0.0445,,,,,1.30886751,0.15587376,-3.14518963,-4.24189329,0.2610944
9/1/03,26.9341,0.6117,,0.0186,,,,,0.84842415,1.30886751,0.15587376,-3.14518963,-4.24189329
10/1/03,27.2118,0.6611,,0.0494,,,,,-0.48709122,0.84842415,1.30886751,0.15587376,-3.14518963
11/1/03,25.3454,0.6654,,0.0043,,,,,-0.56266788,-0.48709122,0.84842415,1.30886751,0.15587376
12/1/03,26.2142,0.6539,,-0.0115,,,,,-0.28049194,-0.56266788,-0.48709122,0.84842415,1.30886751
1/1/04,24.4686,0.5932,,-0.0607,,,,,1.22343,-0.28049194,-0.56266788,-0.48709122,0.84842415
2/1/04,24.2727,0.556,,-0.0372,,,,,2.11657944,1.22343,-0.28049194,-0.56266788,-0.48709122
3/1/04,22.6922,0.4811,,-0.0749,,,,,3.67840562,2.11657944,1.22343,-0.28049194,-0.56266788
4/1/04,28.8417,0.7268,,0.2457,,,,,-2.41116612,3.67840562,2.11657944,1.22343,-0.28049194
5/1/04,30.8904,0.7565,,0.0297,,,,,-3.49988232,-2.41116612,3.67840562,2.11657944,1.22343
6/1/04,25.161,0.6748,,-0.0817,,,,,-0.7950876,-3.49988232,-2.41116612,3.67840562,2.11657944
7/1/04,22.5311,0.5743,,-0.1005,,,,,1.55239279,-0.7950876,-3.49988232,-2.41116612,3.67840562
8/1/04,22.2671,0.5252,,-0.0491,,,,,2.6275178,1.55239279,-0.7950876,-3.49988232,-2.41116612
9/1/04,22.5383,0.5348,,0.0096,,,,,2.44315172,2.6275178,1.55239279,-0.7950876,-3.49988232
10/1/04,25.631,0.6958,,0.161,,,,,-1.3481906,2.44315172,2.6275178,1.55239279,-0.7950876
11/1/04,26.8711,0.7283,,0.0325,,,,,-2.28673061,-1.3481906,2.44315172,2.6275178,1.55239279
12/1/04,25.7944,0.7051,,-0.0232,,,,,-1.59667336,-2.28673061,-1.3481906,2.44315172,2.6275178
1/1/05,23.5356,0.5753,,-0.1298,,,,,1.59806724,-1.59667336,-2.28673061,-1.3481906,2.44315172
2/1/05,22.8622,0.5031,,-0.0722,,,,,3.20299422,1.59806724,-1.59667336,-2.28673061,-1.3481906
3/1/05,25.2615,0.5643,,0.0612,,,,,1.99313235,3.20299422,1.59806724,-1.59667336,-2.28673061
4/1/05,25.6503,0.6247,,0.0604,,,,,0.47453055,1.99313235,3.20299422,1.59806724,-1.59667336
5/1/05,35.0037,0.7659,,0.1412,,,,,-4.29495399,0.47453055,1.99313235,3.20299422,1.59806724
6/1/05,33.359,0.7572,,-0.0087,,,,,-3.802926,-4.29495399,0.47453055,1.99313235,3.20299422
7/1/05,28.431,0.5727,,-0.1845,,,,,2.0043855,-3.802926,-4.29495399,0.47453055,1.99313235
8/1/05,26.3144,0.5726,,-1E-04,,,,,1.85779664,2.0043855,-3.802926,-4.29495399,0.47453055
9/1/05,25.7853,0.5795,,0.0069,,,,,1.64252361,1.85779664,2.0043855,-3.802926,-4.29495399
10/1/05,26.8351,0.711,,0.1315,,,,,-1.81941978,1.64252361,1.85779664,2.0043855,-3.802926
11/1/05,27.2114,0.7426,,0.0316,,,,,-2.70481316,-1.81941978,1.64252361,1.85779664,2.0043855
12/1/05,24.2114,0.6682,,-0.0744,,,,,-0.605285,-2.70481316,-1.81941978,1.64252361,1.85779664
1/1/06,22.4275,0.5253,,-0.1429,,,,,2.64420225,-0.605285,-2.70481316,-1.81941978,1.64252361
2/1/06,21.844,0.458,,-0.0673,,,,,4.0455088,2.64420225,-0.605285,-2.70481316,-1.81941978
3/1/06,23.2184,0.6009,,0.1429,,,,,0.98213832,4.0455088,2.64420225,-0.605285,-2.70481316
4/1/06,31.1678,0.7563,,0.1554,,,,,-3.52507818,0.98213832,4.0455088,2.64420225,-0.605285
5/1/06,32.9483,0.7674,,0.0111,,,,,-4.09217886,-3.52507818,0.98213832,4.0455088,2.64420225
6/1/06,28.7414,0.7061,,-0.0613,,,,,-1.80783406,-4.09217886,-3.52507818,0.98213832,4.0455088
7/1/06,25.956,0.5469,,-0.1592,,,,,2.4995628,-1.80783406,-4.09217886,-3.52507818,0.98213832
8/1/06,25.4543,0.5198,,-0.0271,,,,,3.14106062,2.4995628,-1.80783406,-4.09217886,-3.52507818
9/1/06,24.9716,0.5673,,0.0475,,,,,1.89534444,3.14106062,2.4995628,-1.80783406,-4.09217886
10/1/06,28.3666,0.7182,,0.1509,,,,,-2.127495,1.89534444,3.14106062,2.4995628,-1.80783406
11/1/06,30.7366,0.757,,0.0388,,,,,-3.49782508,-2.127495,1.89534444,3.14106062,2.4995628
12/1/06,29.5879,0.7474,,-0.0096,,,,,-3.08305918,-3.49782508,-2.127495,1.89534444,3.14106062
1/1/07,26.5587,0.6285,,-0.1189,,,,,0.39041289,-3.08305918,-3.49782508,-2.127495,1.89534444
2/1/07,25.6225,0.5181,,-0.1104,,,,,3.20537475,0.39041289,-3.08305918,-3.49782508,-2.127495
3/1/07,24.8038,0.4756,,-0.0425,,,,,4.15711688,3.20537475,0.39041289,-3.08305918,-3.49782508
4/1/07,28.5527,0.6896,,0.214,,,,,-1.32484528,4.15711688,3.20537475,0.39041289,-3.08305918
5/1/07,32.7814,0.7443,,0.0547,,,,,-3.31419954,-1.32484528,4.15711688,3.20537475,0.39041289
6/1/07,30.997,0.721,,-0.0233,,,,,-2.4115666,-3.31419954,-1.32484528,4.15711688,3.20537475
7/1/07,27.3749,0.6358,,-0.0852,,,,,0.20257426,-2.4115666,-3.31419954,-1.32484528,4.15711688
8/1/07,26.5013,0.5015,,-0.1343,,,,,3.75523421,0.20257426,-2.4115666,-3.31419954,-1.32484528
9/1/07,27.3259,0.6293,,0.1278,,,,,0.37983001,3.75523421,0.20257426,-2.4115666,-3.31419954
10/1/07,31.3944,0.7381,,0.1088,,,,,-2.97932856,0.37983001,3.75523421,0.20257426,-2.4115666
11/1/07,29.1986,0.7353,,-0.0028,,,,,-2.68919106,-2.97932856,0.37983001,3.75523421,0.20257426
12/1/07,25.3924,0.6212,,-0.1141,,,,,0.5586328,-2.68919106,-2.97932856,0.37983001,3.75523421
1/1/08,23.6952,0.4748,,-0.1464,,,,,3.99027168,0.5586328,-2.68919106,-2.97932856,0.37983001
2/1/08,22.8964,0.4186,,-0.0562,,,,,5.14253144,3.99027168,0.5586328,-2.68919106,-2.97932856
3/1/08,21.9462,0.4217,,0.0031,,,,,4.8610833,5.14253144,3.99027168,0.5586328,-2.68919106
4/1/08,24.8864,0.6455,,0.2238,,,,,-0.05723872,4.8610833,5.14253144,3.99027168,0.5586328
5/1/08,29.0558,0.6906,,0.0451,,,,,-1.37724492,-0.05723872,4.8610833,5.14253144,3.99027168
6/1/08,26.4567,0.5938,,-0.0968,,,,,1.30696098,-1.37724492,-0.05723872,4.8610833,5.14253144
7/1/08,23.9851,0.5279,,-0.0659,,,,,2.76548203,1.30696098,-1.37724492,-0.05723872,4.8610833
8/1/08,22.8713,0.4487,,-0.0792,,,,,4.44846785,2.76548203,1.30696098,-1.37724492,-0.05723872
9/1/08,23.3733,0.5582,,0.1095,,,,,1.9867305,4.44846785,2.76548203,1.30696098,-1.37724492
10/1/08,28.4836,0.7185,,0.1603,,,,,-2.14481508,1.9867305,4.44846785,2.76548203,1.30696098
11/1/08,34.4455,0.7476,,0.0291,,,,,-3.5961102,-2.14481508,1.9867305,4.44846785,2.76548203
12/1/08,28.6068,0.677,,-0.0706,,,,,-0.96690984,-3.5961102,-2.14481508,1.9867305,4.44846785
1/1/09,26.09,0.5154,,-0.1616,,,,,3.334302,-0.96690984,-3.5961102,-2.14481508,1.9867305
2/1/09,25.8341,0.4983,,-0.0171,,,,,3.74336109,3.334302,-0.96690984,-3.5961102,-2.14481508
3/1/09,24.0272,0.4648,,-0.0335,,,,,4.28645248,3.74336109,3.334302,-0.96690984,-3.5961102
4/1/09,29.8692,0.6849,,0.2201,,,,,-1.24554564,4.28645248,3.74336109,3.334302,-0.96690984
5/1/09,31.7697,0.7482,,0.0633,,,,,-3.3358185,-1.24554564,4.28645248,3.74336109,3.334302
6/1/09,29.007,0.7305,,-0.0177,,,,,-2.5323111,-3.3358185,-1.24554564,4.28645248,3.74336109
7/1/09,25.5639,0.5702,,-0.1603,,,,,1.8661647,-2.5323111,-3.3358185,-1.24554564,4.28645248
8/1/09,23.6527,0.4875,,-0.0827,,,,,3.68272539,1.8661647,-2.5323111,-3.3358185,-1.24554564
9/1/09,23.5922,0.531,,0.0435,,,,,2.64704484,3.68272539,1.8661647,-2.5323111,-3.3358185
10/1/09,27.7735,0.7267,,0.1957,,,,,-2.31908725,2.64704484,3.68272539,1.8661647,-2.5323111
11/1/09,26.4829,0.737,,0.0103,,,,,-2.48409602,-2.31908725,2.64704484,3.68272539,1.8661647
12/1/09,25.5197,0.6618,,-0.0752,,,,,-0.47466642,-2.48409602,-2.31908725,2.64704484,3.68272539
1/1/10,24.2891,0.5472,,-0.1146,,,,,2.3317536,-0.47466642,-2.48409602,-2.31908725,2.64704484
2/1/10,23.3148,0.4769,,-0.0703,,,,,3.87725124,2.3317536,-0.47466642,-2.48409602,-2.31908725
3/1/10,29.633,0.6734,,0.1965,,,,,-0.8949166,3.87725124,2.3317536,-0.47466642,-2.48409602
4/1/10,34.0722,0.737,,0.0636,,,,,-3.19597236,-0.8949166,3.87725124,2.3317536,-0.47466642
5/1/10,36.1257,0.7285,,-0.0085,,,,,-3.08152221,-3.19597236,-0.8949166,3.87725124,2.3317536
6/1/10,32.5982,0.6788,,-0.0497,,,,,-1.16049592,-3.08152221,-3.19597236,-0.8949166,3.87725124
7/1/10,28.7649,0.5518,,-0.127,,,,,2.62911186,-1.16049592,-3.08152221,-3.19597236,-0.8949166
8/1/10,26.902,0.5239,,-0.0279,,,,,3.2094086,2.62911186,-1.16049592,-3.08152221,-3.19597236
9/1/10,26.8056,0.5629,,0.039,,,,,2.15248968,3.2094086,2.62911186,-1.16049592,-3.08152221
10/1/10,26.702,0.6851,,0.1222,,,,,-1.1188138,2.15248968,3.2094086,2.62911186,-1.16049592
11/1/10,25.6733,0.7009,,0.0158,,,,,-1.48134941,-1.1188138,2.15248968,3.2094086,2.62911186
12/1/10,23.0595,0.5992,,-0.1017,,,,,1.014618,-1.48134941,-1.1188138,2.15248968,3.2094086
1/1/11,21.7599,0.4707,,-0.1285,,,,,3.75358275,1.014618,-1.48134941,-1.1188138,2.15248968
2/1/11,21.0543,0.4125,,-0.0582,,,,,4.85722701,3.75358275,1.014618,-1.48134941,-1.1188138
3/1/11,20.5911,0.4066,,-0.0059,,,,,4.87185426,4.85722701,3.75358275,1.014618,-1.48134941
4/1/11,19.7057,0.4777,,0.0711,,,,,3.26129335,4.87185426,4.85722701,3.75358275,1.014618
5/1/11,29.8246,0.6716,,0.1939,,,,,-0.84701864,3.26129335,4.87185426,4.85722701,3.75358275
6/1/11,28.0154,0.6691,,-0.0025,,,,,-0.72559886,-0.84701864,3.26129335,4.87185426,4.85722701
7/1/11,25.8833,0.6056,,-0.0635,,,,,0.97321208,-0.72559886,-0.84701864,3.26129335,4.87185426
8/1/11,24.5131,0.5509,,-0.0547,,,,,2.26255913,0.97321208,-0.72559886,-0.84701864,3.26129335
9/1/11,25.4375,0.565,,0.0141,,,,,1.9892125,2.26255913,0.97321208,-0.72559886,-0.84701864
10/1/11,26.9551,0.6885,,0.1235,,,,,-1.22106603,1.9892125,2.26255913,0.97321208,-0.72559886
11/1/11,33.9869,0.741,,0.0525,,,,,-3.32391882,-1.22106603,1.9892125,2.26255913,0.97321208
12/1/11,32.1697,0.7414,,0.0004,,,,,-3.15906454,-3.32391882,-1.22106603,1.9892125,2.26255913
1/1/12,28.0029,0.6126,,-0.1288,,,,,0.85688874,-3.15906454,-3.32391882,-1.22106603,1.9892125
2/1/12,26.1239,0.4692,,-0.1434,,,,,4.5455586,0.85688874,-3.15906454,-3.32391882,-1.22106603
3/1/12,24.7738,0.4106,,-0.0586,,,,,5.76238588,4.5455586,0.85688874,-3.15906454,-3.32391882
4/1/12,30.669,0.6569,,0.2463,,,,,-0.4201653,5.76238588,4.5455586,0.85688874,-3.15906454
5/1/12,35.6415,0.7438,,0.0869,,,,,-3.5855349,-0.4201653,5.76238588,4.5455586,0.85688874
6/1/12,31.4048,0.7043,,-0.0395,,,,,-1.91883328,-3.5855349,-0.4201653,5.76238588,4.5455586
7/1/12,28.1082,0.6046,,-0.0997,,,,,1.08497652,-1.91883328,-3.5855349,-0.4201653,5.76238588
8/1/12,26.5484,0.5836,,-0.021,,,,,1.58228464,1.08497652,-1.91883328,-3.5855349,-0.4201653
9/1/12,26.7695,0.5721,,-0.0115,,,,,1.90331145,1.58228464,1.08497652,-1.91883328,-3.5855349
10/1/12,28.057,0.7223,,0.1502,,,,,-2.2193087,1.90331145,1.58228464,1.08497652,-1.91883328
11/1/12,31.0229,0.7523,,0.03,,,,,-3.38459839,-2.2193087,1.90331145,1.58228464,1.08497652
12/1/12,27.1541,0.7233,,-0.029,,,,,-2.17504341,-3.38459839,-2.2193087,1.90331145,1.58228464
1/1/13,25.0116,0.5797,,-0.1436,,,,,1.5882366,-2.17504341,-3.38459839,-2.2193087,1.90331145
2/1/13,23.8766,0.4643,,-0.1154,,,,,4.27152374,1.5882366,-2.17504341,-3.38459839,-2.2193087
3/1/13,24.8118,0.5036,,0.0393,,,,,3.46372728,4.27152374,1.5882366,-2.17504341,-3.38459839
4/1/13,37.4256,0.7429,,0.2393,,,,,-3.73133232,3.46372728,4.27152374,1.5882366,-2.17504341
5/1/13,38.4765,0.7486,,0.0057,,,,,-4.0554231,-3.73133232,3.46372728,4.27152374,1.5882366
6/1/13,34.0151,0.6334,,-0.1152,,,,,0.33334798,-4.0554231,-3.73133232,3.46372728,4.27152374
7/1/13,30.5248,0.4715,,-0.1619,,,,,5.24110816,0.33334798,-4.0554231,-3.73133232,3.46372728
8/1/13,28.7892,0.518,,0.0465,,,,,3.60440784,5.24110816,0.33334798,-4.0554231,-3.73133232
9/1/13,28.2431,0.6056,,0.0876,,,,,1.06194056,3.60440784,5.24110816,0.33334798,-4.0554231
10/1/13,31.5265,0.7278,,0.1222,,,,,-2.6671419,1.06194056,3.60440784,5.24110816,0.33334798
11/1/13,33.9014,0.7721,,0.0443,,,,,-4.36989046,-2.6671419,1.06194056,3.60440784,5.24110816
12/1/13,29.6478,0.7266,,-0.0455,,,,,-2.47262652,-4.36989046,-2.6671419,1.06194056,3.60440784
1/1/14,26.8221,0.5532,,-0.1734,,,,,2.413989,-2.47262652,-4.36989046,-2.6671419,1.06194056
2/1/14,26.0423,0.4591,,-0.0941,,,,,4.79438743,2.413989,-2.47262652,-4.36989046,-2.6671419
3/1/14,26.4589,0.5808,,0.1217,,,,,1.65103536,4.79438743,2.413989,-2.47262652,-4.36989046
4/1/14,29.6004,0.7141,,0.1333,,,,,-2.09866836,1.65103536,4.79438743,2.413989,-2.47262652
5/1/14,32.7431,0.7387,,0.0246,,,,,-3.12696605,-2.09866836,1.65103536,4.79438743,2.413989
6/1/14,28.6405,0.6954,,-0.0433,,,,,-1.4950341,-3.12696605,-2.09866836,1.65103536,4.79438743
7/1/14,26.7855,0.5173,,-0.1781,,,,,3.37229445,-1.4950341,-3.12696605,-2.09866836,1.65103536
8/1/14,25.5224,0.5182,,0.0009,,,,,3.1903,3.37229445,-1.4950341,-3.12696605,-2.09866836
9/1/14,27.1301,0.5835,,0.0653,,,,,1.61966697,3.1903,3.37229445,-1.4950341,-3.12696605
10/1/14,29.822,0.7088,,0.1253,,,,,-1.9563232,1.61966697,3.1903,3.37229445,-1.4950341
11/1/14,28.4853,0.7519,,0.0431,,,,,-3.09635211,-1.9563232,1.61966697,3.1903,3.37229445
12/1/14,26.6373,0.7129,,-0.039,,,,,-1.85661981,-3.09635211,-1.9563232,1.61966697,3.1903
1/1/15,24.4703,0.5413,,-0.1716,,,,,2.49352357,-1.85661981,-3.09635211,-1.9563232,1.61966697
2/1/15,23.303,0.4248,,-0.1165,,,,,5.0893752,2.49352357,-1.85661981,-3.09635211,-1.9563232
3/1/15,22.8053,0.4549,,0.0301,,,,,4.29423799,5.0893752,2.49352357,-1.85661981,-3.09635211
4/1/15,29.3005,0.6903,,0.2354,,,,,-1.38005355,4.29423799,5.0893752,2.49352357,-1.85661981
5/1/15,34.9989,0.7514,,0.0611,,,,,-3.78688098,-1.38005355,4.29423799,5.0893752,2.49352357
6/1/15,30.7368,0.7262,,-0.0252,,,,,-2.5511544,-3.78688098,-1.38005355,4.29423799,5.0893752
7/1/15,26.9546,0.5899,,-0.1363,,,,,1.43668018,-2.5511544,-3.78688098,-1.38005355,4.29423799
8/1/15,25.1974,0.5584,,-0.0315,,,,,2.13673952,1.43668018,-2.5511544,-3.78688098,-1.38005355
9/1/15,23.9518,0.5391,,-0.0193,,,,,2.49338238,2.13673952,1.43668018,-2.5511544,-3.78688098
10/1/15,29.5182,0.7035,,0.1644,,,,,-1.77994746,2.49338238,2.13673952,1.43668018,-2.5511544
11/1/15,30.83,0.7591,,0.0556,,,,,-3.573197,-1.77994746,2.49338238,2.13673952,1.43668018
12/1/15,26.9202,0.7367,,-0.0224,,,,,-2.5170387,-3.573197,-1.77994746,2.49338238,2.13673952
1/1/16,24.9167,0.5809,,-0.1558,,,,,1.55231041,-2.5170387,-3.573197,-1.77994746,2.49338238
2/1/16,23.8516,0.4719,,-0.109,,,,,4.08577908,1.55231041,-2.5170387,-3.573197,-1.77994746
3/1/16,24.4939,0.4879,,0.016,,,,,3.80390267,4.08577908,1.55231041,-2.5170387,-3.573197
4/1/16,32.3037,0.6552,,0.1673,,,,,-0.3876444,3.80390267,4.08577908,1.55231041,-2.5170387
5/1/16,36.577,0.7336,,0.0784,,,,,-3.3065608,-0.3876444,3.80390267,4.08577908,1.55231041
6/1/16,30.5393,0.6682,,-0.0654,,,,,-0.7634825,-3.3065608,-0.3876444,3.80390267,4.08577908
7/1/16,27.8497,0.5138,,-0.1544,,,,,3.60375118,-0.7634825,-3.3065608,-0.3876444,3.80390267
8/1/16,25.915,0.527,,0.0132,,,,,3.011323,3.60375118,-0.7634825,-3.3065608,-0.3876444
9/1/16,25.0664,0.5298,,0.0028,,,,,2.84252976,3.011323,3.60375118,-0.7634825,-3.3065608
10/1/16,27.3283,0.6282,,0.0984,,,,,0.4099245,2.84252976,3.011323,3.60375118,-0.7634825
11/1/16,26.6901,0.6648,,0.0366,,,,,-0.57650616,0.4099245,2.84252976,3.011323,3.60375118
12/1/16,25.9067,0.6597,,-0.0051,,,,,-0.42746055,-0.57650616,0.4099245,2.84252976,3.011323
1/1/17,23.4656,0.5026,,-0.1571,,,,,3.29926336,-0.42746055,-0.57650616,0.4099245,2.84252976
2/1/17,22.7402,0.4183,,-0.0843,,,,,5.11427098,3.29926336,-0.42746055,-0.57650616,0.4099245
3/1/17,22.235,0.4381,,0.0198,,,,,4.5603985,5.11427098,3.29926336,-0.42746055,-0.57650616
4/1/17,25.203,0.6012,,0.1631,,,,,1.058526,4.5603985,5.11427098,3.29926336,-0.42746055
5/1/17,30.2856,0.6935,,0.0923,,,,,-1.52336568,1.058526,4.5603985,5.11427098,3.29926336
6/1/17,27.2732,0.6448,,-0.0487,,,,,-0.04363712,-1.52336568,1.058526,4.5603985,5.11427098
7/1/17,24.5013,0.4925,,-0.1523,,,,,3.69234591,-0.04363712,-1.52336568,1.058526,4.5603985
8/1/17,23.5227,0.4683,,-0.0242,,,,,4.11412023,3.69234591,-0.04363712,-1.52336568,1.058526
9/1/17,25.6974,0.5162,,0.0479,,,,,3.2635698,4.11412023,3.69234591,-0.04363712,-1.52336568
10/1/17,27.4015,0.615,,0.0988,,,,,0.7727223,3.2635698,4.11412023,3.69234591,-0.04363712
11/1/17,29.7883,0.6968,,0.0818,,,,,-1.59665288,0.7727223,3.2635698,4.11412023,3.69234591
12/1/17,25.3421,0.6611,,-0.0357,,,,,-0.45362359,-1.59665288,0.7727223,3.2635698,4.11412023
1/1/18,23.3589,0.4733,,-0.1878,,,,,3.96867711,-0.45362359,-1.59665288,0.7727223,3.2635698
2/1/18,22.8414,0.4336,,-0.0397,,,,,4.78755744,3.96867711,-0.45362359,-1.59665288,0.7727223
3/1/18,27.3323,0.6342,,0.2006,,,,,0.2459907,4.78755744,3.96867711,-0.45362359,-1.59665288
4/1/18,35.8763,0.7354,,0.1012,,,,,-3.30779486,0.2459907,4.78755744,3.96867711,-0.45362359
5/1/18,39.4045,0.7389,,0.0035,,,,,-3.77101065,-3.30779486,0.2459907,4.78755744,3.96867711
6/1/18,35.9697,0.6128,,-0.1261,,,,,1.09347888,-3.77101065,-3.30779486,0.2459907,4.78755744
7/1/18,31.3193,0.5472,,-0.0656,,,,,3.0066528,1.09347888,-3.77101065,-3.30779486,0.2459907
8/1/18,28.3256,0.5615,,0.0143,,,,,2.31420152,3.0066528,1.09347888,-3.77101065,-3.30779486
9/1/18,28.1254,0.5866,,0.0251,,,,,1.59189764,2.31420152,3.0066528,1.09347888,-3.77101065
10/1/18,29.5364,0.6904,,0.1038,,,,,-1.39411808,1.59189764,2.31420152,3.0066528,1.09347888
11/1/18,28.8213,0.7126,,0.0222,,,,,-2.00019822,-1.39411808,1.59189764,2.31420152,3.0066528
12/1/18,25.9224,0.6669,,-0.0457,,,,,-0.61436088,-2.00019822,-1.39411808,1.59189764,2.31420152
1/1/19,23.8754,0.5175,,-0.1494,,,,,3.00113778,-0.61436088,-2.00019822,-1.39411808,1.59189764
2/1/19,22.9091,0.4252,,-0.0923,,,,,4.9941838,3.00113778,-0.61436088,-2.00019822,-1.39411808
3/1/19,22.2372,0.4365,,0.0113,,,,,4.59642924,4.9941838,3.00113778,-0.61436088,-2.00019822
,,,,,,,,,,4.59642924,4.9941838,3.00113778,-0.61436088
,,,,,,,,,,,4.59642924,4.9941838,3.00113778
,,,,,,,,,,,,4.59642924,4.9941838
,,,,,,,,,,,,,4.59642924